isocode,region,region-score,Year,Prosperity Growth
AFG,Asia,0.2011346176575973,2008,-0.011916902330185053
AGO,Africa,0.14716177440824962,2008,0.6736416286892322
ALB,Europe,0.2224476633026895,2008,1.18386798434787
ARE,Asia,0.2011346176575973,2008,0.5550219217936174
ARG,Americas,0.1860369642954025,2008,-0.5568728976779482
ARM,Asia,0.2011346176575973,2008,-0.4217537773980098
AUS,Oceania,0.0062095399886845015,2008,0.12734391954209912
AUT,Europe,0.2224476633026895,2008,0.4344236585829009
AZE,Asia,0.2011346176575973,2008,1.609816233317055
BDI,Africa,0.14716177440824962,2008,0.07561535305447364
BEL,Europe,0.2224476633026895,2008,-0.140466901991104
BEN,Africa,0.14716177440824962,2008,-0.4417762756347656
BFA,Africa,0.14716177440824962,2008,0.37266943189833057
BGD,Asia,0.2011346176575973,2008,0.11273108588324732
BGR,Europe,0.2224476633026895,2008,0.13772201538085938
BHR,Asia,0.2011346176575973,2008,0.5041737026638486
BLR,Europe,0.2224476633026895,2008,-0.15006807115342724
BLZ,Americas,0.1860369642954025,2008,0.23626497056748974
BOL,Americas,0.1860369642954025,2008,-0.6237860785590286
BRA,Americas,0.1860369642954025,2008,0.649150424533417
BWA,Africa,0.14716177440824962,2008,0.20170466105142992
CAF,Africa,0.14716177440824962,2008,0.4910924699571453
CAN,Americas,0.1860369642954025,2008,0.12201266818577494
CHE,Europe,0.2224476633026895,2008,0.43833245171441604
CHL,Americas,0.1860369642954025,2008,-0.3375248379177549
CHN,Asia,0.2011346176575973,2008,0.27813042534722143
CIV,Africa,0.14716177440824962,2008,0.14331965976290917
CMR,Africa,0.14716177440824962,2008,-0.3723481496175083
COD,Africa,0.14716177440824962,2008,-0.7877330780029297
COG,Africa,0.14716177440824962,2008,0.10070186191134667
COL,Americas,0.1860369642954025,2008,-0.10047276814778172
COM,Africa,0.14716177440824962,2008,0.6691294776068801
CRI,Americas,0.1860369642954025,2008,-0.5895623101128535
CYP,Asia,0.2011346176575973,2008,0.28338877360026515
CZE,Europe,0.2224476633026895,2008,0.4457439846462705
DEU,Europe,0.2224476633026895,2008,0.27368333604600537
DJI,Africa,0.14716177440824962,2008,0.052478790283203125
DNK,Europe,0.2224476633026895,2008,0.031654781765411144
DOM,Americas,0.1860369642954025,2008,-0.7350239223904111
DZA,Africa,0.14716177440824962,2008,-0.3443806966145857
ECU,Americas,0.1860369642954025,2008,-0.7912551032172317
EGY,Africa,0.14716177440824962,2008,0.7482927110460125
ESP,Europe,0.2224476633026895,2008,0.11825942993164062
EST,Europe,0.2224476633026895,2008,0.4503835042317661
ETH,Africa,0.14716177440824962,2008,1.2068076663547131
FIN,Europe,0.2224476633026895,2008,-0.11293284098307765
FRA,Europe,0.2224476633026895,2008,0.15955395168727193
GAB,Africa,0.14716177440824962,2008,0.14929495917426294
GBR,Europe,0.2224476633026895,2008,-0.6260426839192661
GEO,Asia,0.2011346176575973,2008,1.2280171712239536
GHA,Africa,0.14716177440824962,2008,-0.5406833224826428
GIN,Africa,0.14716177440824962,2008,-0.1553340488009951
GRC,Europe,0.2224476633026895,2008,0.5993465847439268
GTM,Americas,0.1860369642954025,2008,1.1599913703070754
GUY,Americas,0.1860369642954025,2008,-0.13750839233398438
HKG,Asia,0.2011346176575973,2008,-0.2332717047797246
HND,Americas,0.1860369642954025,2008,0.18606864081488794
HRV,Europe,0.2224476633026895,2008,0.4261839124891509
HUN,Europe,0.2224476633026895,2008,-0.06109915839301294
IDN,Asia,0.2011346176575973,2008,0.48033820258246607
IND,Asia,0.2011346176575973,2008,-0.25123257107205177
IRL,Europe,0.2224476633026895,2008,0.1164957682291714
IRN,Asia,0.2011346176575973,2008,-0.20371097988552833
IRQ,Asia,0.2011346176575973,2008,0.6716403961181641
ISL,Europe,0.2224476633026895,2008,0.4466408623589473
ISR,Asia,0.2011346176575973,2008,-0.06159845987955492
ITA,Europe,0.2224476633026895,2008,-1.5924856397840728
JAM,Americas,0.1860369642954025,2008,0.09575610690647096
JOR,Asia,0.2011346176575973,2008,-0.7808375888400576
JPN,Asia,0.2011346176575973,2008,-0.6643490261501768
KAZ,Asia,0.2011346176575973,2008,0.2137607998318103
KEN,Africa,0.14716177440824962,2008,-1.6673762003580705
KGZ,Asia,0.2011346176575973,2008,0.8244573805067219
KHM,Asia,0.2011346176575973,2008,2.6535627577039875
KOR,Asia,0.2011346176575973,2008,-0.34244452582465357
KWT,Asia,0.2011346176575973,2008,-0.42525906032985716
LAO,Asia,0.2011346176575973,2008,1.152982076009117
LBN,Asia,0.2011346176575973,2008,-1.004868825276695
LBR,Africa,0.14716177440824962,2008,0.4736037784152529
LBY,Africa,0.14716177440824962,2008,0.01955392625597341
LKA,Asia,0.2011346176575973,2008,1.4572787814670107
LSO,Africa,0.14716177440824962,2008,0.548922220865883
LTU,Europe,0.2224476633026895,2008,0.41988881429036695
LUX,Europe,0.2224476633026895,2008,-0.009537590874558077
LVA,Europe,0.2224476633026895,2008,-0.3046213785807268
MAR,Africa,0.14716177440824962,2008,0.11620415581597143
MDA,Europe,0.2224476633026895,2008,0.04144202338324732
MDG,Africa,0.14716177440824962,2008,-0.20295800103081518
MEX,Americas,0.1860369642954025,2008,-0.2672975328233562
MKD,Europe,0.2224476633026895,2008,1.093544854058159
MLI,Africa,0.14716177440824962,2008,0.2440611521402971
MLT,Europe,0.2224476633026895,2008,-0.13548999362522807
MNE,Europe,0.2224476633026895,2008,0.6779191758897625
MNG,Asia,0.2011346176575973,2008,-0.5810301038954009
MOZ,Africa,0.14716177440824962,2008,-0.37141079372830177
MRT,Africa,0.14716177440824962,2008,-1.5212758382161482
MUS,Africa,0.14716177440824962,2008,0.2460933261447451
MWI,Africa,0.14716177440824962,2008,0.2085215250651018
MYS,Asia,0.2011346176575973,2008,-0.2201491461859817
NAM,Africa,0.14716177440824962,2008,-0.25639597574869555
NER,Africa,0.14716177440824962,2008,-0.01153776380751026
NGA,Africa,0.14716177440824962,2008,-0.6373668246799085
NIC,Americas,0.1860369642954025,2008,-0.42238532172309107
NLD,Europe,0.2224476633026895,2008,-0.01323699951171875
NOR,Europe,0.2224476633026895,2008,0.06928592258029198
NPL,Asia,0.2011346176575973,2008,1.5654246012369768
NZL,Oceania,0.0062095399886845015,2008,-0.544350518120666
OMN,Asia,0.2011346176575973,2008,0.3411750793457031
PAK,Asia,0.2011346176575973,2008,-0.3458756340874558
PAN,Americas,0.1860369642954025,2008,0.19104639689128078
PER,Americas,0.1860369642954025,2008,0.09947628445095802
PHL,Asia,0.2011346176575973,2008,0.7481083340114978
POL,Europe,0.2224476633026895,2008,0.46736314561631787
PRT,Europe,0.2224476633026895,2008,-0.10223007202148438
PRY,Americas,0.1860369642954025,2008,0.34816275702582544
QAT,Asia,0.2011346176575973,2008,0.056291368272567865
ROU,Europe,0.2224476633026895,2008,0.2150476243760835
RUS,Europe,0.2224476633026895,2008,0.4781451755099795
RWA,Africa,0.14716177440824962,2008,0.4353523254394531
SAU,Asia,0.2011346176575973,2008,-0.6063596937391509
SDN,Africa,0.14716177440824962,2008,-0.14261012607150292
SEN,Africa,0.14716177440824962,2008,-0.8977055019802549
SGP,Asia,0.2011346176575973,2008,-0.8442675272623745
SLE,Africa,0.14716177440824962,2008,-0.836265140109596
SLV,Americas,0.1860369642954025,2008,-0.19444105360243213
SUR,Americas,0.1860369642954025,2008,0.4249534606933594
SVK,Europe,0.2224476633026895,2008,0.30306752522785985
SVN,Europe,0.2224476633026895,2008,0.8991105821397554
SWE,Europe,0.2224476633026895,2008,0.2674967447916714
SWZ,Africa,0.14716177440824962,2008,0.0612640380859375
